task,model,quantization,score
CS4,llama-3.1_70b,awq-int4,86.72
CS4,llama-3.1_70b,bf16,87.97
CS4,llama-3.1_70b,bnb-int4,88.94
CS4,llama-3.1_70b,fp8,87.97
CS4,llama-3.1_70b,gptq-int4,88.57
CS4,llama-3.1_70b,gptq-int8,81.95
NoCha,llama-3.1_70b,awq-int4,27.2
NoCha,llama-3.1_70b,bf16,29.6
NoCha,llama-3.1_70b,bnb-int4,22.5
NoCha,llama-3.1_70b,fp8,29.2
NoCha,llama-3.1_70b,gptq-int4,25.4
NoCha,llama-3.1_70b,gptq-int8,29.6
Ruler,llama-3.1_70b,awq-int4,80.7
Ruler,llama-3.1_70b,bf16,82.7
Ruler,llama-3.1_70b,bnb-int4,77.7
Ruler,llama-3.1_70b,fp8,80.0
Ruler,llama-3.1_70b,gptq-int4,79.7
Ruler,llama-3.1_70b,gptq-int8,83.0
CS4,llama-3.1_8b,awq-int4,83.97
CS4,llama-3.1_8b,bf16,82.27
CS4,llama-3.1_8b,bnb-int4,79.26
CS4,llama-3.1_8b,fp8,72.9
CS4,llama-3.1_8b,gptq-int4,83.39
CS4,llama-3.1_8b,gptq-int8,83.12
NoCha,llama-3.1_8b,awq-int4,14.0
NoCha,llama-3.1_8b,bf16,15.4
NoCha,llama-3.1_8b,bnb-int4,18.5
NoCha,llama-3.1_8b,fp8,15.4
NoCha,llama-3.1_8b,gptq-int4,15.2
NoCha,llama-3.1_8b,gptq-int8,15.4
Ruler,llama-3.1_8b,awq-int4,83.7
Ruler,llama-3.1_8b,bf16,87.7
Ruler,llama-3.1_8b,bnb-int4,57.0
Ruler,llama-3.1_8b,fp8,89.5
Ruler,llama-3.1_8b,gptq-int4,66.7
Ruler,llama-3.1_8b,gptq-int8,88.7
CS4,qwen-2.5_32b,awq-int4,85.54
CS4,qwen-2.5_32b,bf16,86.3
CS4,qwen-2.5_32b,bnb-int4,85.47
CS4,qwen-2.5_32b,fp8,86.66
CS4,qwen-2.5_32b,gptq-int4,86.86
CS4,qwen-2.5_32b,gptq-int8,86.3
NoCha,qwen-2.5_32b,awq-int4,35.8
NoCha,qwen-2.5_32b,bf16,38.5
NoCha,qwen-2.5_32b,bnb-int4,31.3
NoCha,qwen-2.5_32b,fp8,38.5
NoCha,qwen-2.5_32b,gptq-int4,38.3
NoCha,qwen-2.5_32b,gptq-int8,38.5
Ruler,qwen-2.5_32b,awq-int4,47.0
Ruler,qwen-2.5_32b,bf16,53.2
Ruler,qwen-2.5_32b,bnb-int4,38.5
Ruler,qwen-2.5_32b,fp8,46.2
Ruler,qwen-2.5_32b,gptq-int4,47.0
Ruler,qwen-2.5_32b,gptq-int8,51.8
CS4,qwen-2.5_72b,awq-int4,92.31
CS4,qwen-2.5_72b,bf16,91.17
CS4,qwen-2.5_72b,bnb-int4,91.36
CS4,qwen-2.5_72b,fp8,91.12
CS4,qwen-2.5_72b,gptq-int4,91.1
CS4,qwen-2.5_72b,gptq-int8,92.77
NoCha,qwen-2.5_72b,awq-int4,38.5
NoCha,qwen-2.5_72b,bf16,39.8
NoCha,qwen-2.5_72b,bnb-int4,41.3
NoCha,qwen-2.5_72b,fp8,39.8
NoCha,qwen-2.5_72b,gptq-int4,39.4
NoCha,qwen-2.5_72b,gptq-int8,39.8
Ruler,qwen-2.5_72b,awq-int4,66.67
Ruler,qwen-2.5_72b,bf16,66.2
Ruler,qwen-2.5_72b,bnb-int4,58.0
Ruler,qwen-2.5_72b,fp8,63.3
Ruler,qwen-2.5_72b,gptq-int4,58.0
Ruler,qwen-2.5_72b,gptq-int8,65.0
CS4,qwen-2.5_7b,awq-int4,79.81
CS4,qwen-2.5_7b,bf16,79.11
CS4,qwen-2.5_7b,bnb-int4,76.76
CS4,qwen-2.5_7b,fp8,79.26
CS4,qwen-2.5_7b,gptq-int4,81.04
CS4,qwen-2.5_7b,gptq-int8,81.38
NoCha,qwen-2.5_7b,awq-int4,22.3
NoCha,qwen-2.5_7b,bf16,24.9
NoCha,qwen-2.5_7b,bnb-int4,24.9
NoCha,qwen-2.5_7b,fp8,24.9
NoCha,qwen-2.5_7b,gptq-int4,25.3
NoCha,qwen-2.5_7b,gptq-int8,24.9
Ruler,qwen-2.5_7b,awq-int4,35.5
Ruler,qwen-2.5_7b,bf16,41.7
Ruler,qwen-2.5_7b,bnb-int4,18.0
Ruler,qwen-2.5_7b,fp8,38.8
Ruler,qwen-2.5_7b,gptq-int4,38.7
Ruler,qwen-2.5_7b,gptq-int8,39.2
FActScore,llama3.1_70b,awq-int4,29.075000000000003
FActScore,llama3.1_70b,bf16,29.325
FActScore,llama3.1_70b,bnb-int4,23.875
FActScore,llama3.1_70b,fp8,30.125
FActScore,llama3.1_70b,gptq-int4,24.925
FActScore,llama3.1_70b,gptq-int8,29.85
FActScore,llama3.1_8b,awq-int4,17.7
FActScore,llama3.1_8b,bf16,20.825
FActScore,llama3.1_8b,bnb-int4,18.5
FActScore,llama3.1_8b,fp8,22.1
FActScore,llama3.1_8b,gptq-int4,18.15
FActScore,llama3.1_8b,gptq-int8,19.975
FActScore,qwen2.5_32b,awq-int4,21.35
FActScore,qwen2.5_32b,bf16,22.625
FActScore,qwen2.5_32b,bnb-int4,21.65
FActScore,qwen2.5_32b,fp8,23.875
FActScore,qwen2.5_32b,gptq-int4,22.275000000000002
FActScore,qwen2.5_32b,gptq-int8,22.675
FActScore,qwen2.5_72b,awq-int4,25.4
FActScore,qwen2.5_72b,bf16,26.275000000000002
FActScore,qwen2.5_72b,bnb-int4,24.975
FActScore,qwen2.5_72b,fp8,27.975
FActScore,qwen2.5_72b,gptq-int4,26.025
FActScore,qwen2.5_72b,gptq-int8,26.025
FActScore,qwen2.5_7b,awq-int4,17.075
FActScore,qwen2.5_7b,bf16,18.15
FActScore,qwen2.5_7b,bnb-int4,17.625
FActScore,qwen2.5_7b,fp8,17.325
FActScore,qwen2.5_7b,gptq-int4,16.1
FActScore,qwen2.5_7b,gptq-int8,17.974999999999998
OneRuler,llama3.1_70b,awq-int4,67.03846153846153
OneRuler,llama3.1_70b,bf16,71.0
OneRuler,llama3.1_70b,bnb-int4,12.423076923076923
OneRuler,llama3.1_70b,fp8,70.4423076923077
OneRuler,llama3.1_70b,gptq-int4,64.9423076923077
OneRuler,llama3.1_70b,gptq-int8,70.8076923076923
OneRuler,llama3.1_8b,awq-int4,57.01923076923077
OneRuler,llama3.1_8b,bf16,57.76923076923077
OneRuler,llama3.1_8b,bnb-int4,61.26923076923077
OneRuler,llama3.1_8b,fp8,59.05769230769231
OneRuler,llama3.1_8b,gptq-int4,52.75
OneRuler,llama3.1_8b,gptq-int8,57.05769230769231
OneRuler,qwen2.5_32b,awq-int4,92.38461538461539
OneRuler,qwen2.5_32b,bf16,93.84615384615384
OneRuler,qwen2.5_32b,bnb-int4,93.86538461538461
OneRuler,qwen2.5_32b,fp8,94.28846153846153
OneRuler,qwen2.5_32b,gptq-int4,94.11538461538461
OneRuler,qwen2.5_32b,gptq-int8,94.11538461538461
OneRuler,qwen2.5_72b,awq-int4,89.38461538461539
OneRuler,qwen2.5_72b,bf16,89.1923076923077
OneRuler,qwen2.5_72b,bnb-int4,89.76923076923077
OneRuler,qwen2.5_72b,fp8,87.92307692307692
OneRuler,qwen2.5_72b,gptq-int4,88.23076923076923
OneRuler,qwen2.5_72b,gptq-int8,89.1923076923077
OneRuler,qwen2.5_7b,awq-int4,70.5
OneRuler,qwen2.5_7b,bf16,75.0
OneRuler,qwen2.5_7b,bnb-int4,65.59615384615384
OneRuler,qwen2.5_7b,fp8,74.07692307692308
OneRuler,qwen2.5_7b,gptq-int4,69.84615384615384
OneRuler,qwen2.5_7b,gptq-int8,75.98076923076923
